state	state_county	county_uranium	is_basement	radon
AZ	AZ-APACHE	2.26437	False	0.3
AZ	AZ-APACHE	2.26437	False	0.6
AZ	AZ-APACHE	2.26437	False	0.5
AZ	AZ-APACHE	2.26437	False	0.6
AZ	AZ-APACHE	2.26437	False	0.3
AZ	AZ-APACHE	2.26437	False	1.2
AZ	AZ-APACHE	2.26437	False	5.0
AZ	AZ-APACHE	2.26437	False	3.5
AZ	AZ-APACHE	2.26437	False	1.2
AZ	AZ-APACHE	2.26437	False	0.6
AZ	AZ-APACHE	2.26437	False	1.3
AZ	AZ-APACHE	2.26437	False	0.4
AZ	AZ-APACHE	2.26437	True	4.9
AZ	AZ-APACHE	2.26437	False	0.6
AZ	AZ-APACHE	2.26437	False	0.3
AZ	AZ-COCHISE	2.34707	False	1.1
AZ	AZ-COCHISE	2.34707	False	0.7
AZ	AZ-COCHISE	2.34707	False	1.0
AZ	AZ-COCHISE	2.34707	False	0.6
AZ	AZ-COCHISE	2.34707	False	2.1
AZ	AZ-COCHISE	2.34707	True	0.5
AZ	AZ-COCHISE	2.34707	False	0.4
AZ	AZ-COCHISE	2.34707	False	0.6
AZ	AZ-COCHISE	2.34707	False	0.3
AZ	AZ-COCHISE	2.34707	False	0.4
AZ	AZ-COCHISE	2.34707	False	0.5
AZ	AZ-COCHISE	2.34707	False	1.9
AZ	AZ-COCHISE	2.34707	False	3.2
AZ	AZ-COCHISE	2.34707	False	0.8
AZ	AZ-COCHISE	2.34707	False	0.5
AZ	AZ-COCHISE	2.34707	False	0.5
AZ	AZ-COCHISE	2.34707	False	1.9
AZ	AZ-COCHISE	2.34707	False	2.2
AZ	AZ-COCHISE	2.34707	False	1.5
AZ	AZ-COCHISE	2.34707	False	2.9
AZ	AZ-COCHISE	2.34707	False	3.6
AZ	AZ-COCHISE	2.34707	False	5.8
AZ	AZ-COCHISE	2.34707	False	11.1
AZ	AZ-COCHISE	2.34707	False	2.2
AZ	AZ-COCHISE	2.34707	False	0.4
AZ	AZ-COCHISE	2.34707	False	3.7
AZ	AZ-COCHISE	2.34707	False	1.8
AZ	AZ-COCHISE	2.34707	False	0.2
AZ	AZ-COCHISE	2.34707	False	0.4
AZ	AZ-COCHISE	2.34707	False	0.2
AZ	AZ-COCHISE	2.34707	False	0.1
AZ	AZ-COCHISE	2.34707	False	0.0
AZ	AZ-COCHISE	2.34707	False	0.1
AZ	AZ-COCHISE	2.34707	False	0.6
AZ	AZ-COCHISE	2.34707	False	2.4
AZ	AZ-COCHISE	2.34707	False	2.0
AZ	AZ-COCHISE	2.34707	False	4.0
AZ	AZ-COCHISE	2.34707	False	0.7
AZ	AZ-COCHISE	2.34707	False	1.2
AZ	AZ-COCONINO	2.01841	True	2.1
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	0.6
AZ	AZ-COCONINO	2.01841	False	0.8
AZ	AZ-COCONINO	2.01841	False	0.7
AZ	AZ-COCONINO	2.01841	False	3.8
AZ	AZ-COCONINO	2.01841	False	1.8
AZ	AZ-COCONINO	2.01841	False	3.8
AZ	AZ-COCONINO	2.01841	False	3.2
AZ	AZ-COCONINO	2.01841	False	1.1
AZ	AZ-COCONINO	2.01841	False	3.7
AZ	AZ-COCONINO	2.01841	False	4.4
AZ	AZ-COCONINO	2.01841	False	2.1
AZ	AZ-COCONINO	2.01841	False	3.6
AZ	AZ-COCONINO	2.01841	False	3.0
AZ	AZ-COCONINO	2.01841	False	0.3
AZ	AZ-COCONINO	2.01841	False	1.6
AZ	AZ-COCONINO	2.01841	False	9.6
AZ	AZ-COCONINO	2.01841	False	0.6
AZ	AZ-COCONINO	2.01841	False	1.7
AZ	AZ-COCONINO	2.01841	False	0.7
AZ	AZ-COCONINO	2.01841	False	0.9
AZ	AZ-COCONINO	2.01841	False	12.9
AZ	AZ-COCONINO	2.01841	False	0.6
AZ	AZ-COCONINO	2.01841	False	7.7
AZ	AZ-COCONINO	2.01841	False	1.2
AZ	AZ-COCONINO	2.01841	False	8.3
AZ	AZ-COCONINO	2.01841	False	1.2
AZ	AZ-COCONINO	2.01841	False	4.5
AZ	AZ-COCONINO	2.01841	False	0.7
AZ	AZ-COCONINO	2.01841	False	2.6
AZ	AZ-COCONINO	2.01841	False	3.3
AZ	AZ-COCONINO	2.01841	False	1.1
AZ	AZ-COCONINO	2.01841	False	3.7
AZ	AZ-COCONINO	2.01841	False	2.1
AZ	AZ-COCONINO	2.01841	False	6.7
AZ	AZ-COCONINO	2.01841	False	1.0
AZ	AZ-COCONINO	2.01841	False	1.4
AZ	AZ-COCONINO	2.01841	False	2.4
AZ	AZ-COCONINO	2.01841	False	0.4
AZ	AZ-COCONINO	2.01841	False	3.4
AZ	AZ-COCONINO	2.01841	False	4.0
AZ	AZ-COCONINO	2.01841	False	1.5
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	0.3
AZ	AZ-COCONINO	2.01841	False	0.7
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	True	2.3
AZ	AZ-COCONINO	2.01841	False	0.7
AZ	AZ-COCONINO	2.01841	False	0.0
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-COCONINO	2.01841	False	1.1
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-COCONINO	2.01841	False	0.6
AZ	AZ-COCONINO	2.01841	False	1.4
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-COCONINO	2.01841	False	1.9
AZ	AZ-COCONINO	2.01841	False	1.5
AZ	AZ-COCONINO	2.01841	False	0.8
AZ	AZ-COCONINO	2.01841	False	1.1
AZ	AZ-COCONINO	2.01841	False	1.1
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	True	1.8
AZ	AZ-COCONINO	2.01841	False	0.8
AZ	AZ-COCONINO	2.01841	False	1.0
AZ	AZ-COCONINO	2.01841	True	3.7
AZ	AZ-COCONINO	2.01841	False	0.6
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.9
AZ	AZ-COCONINO	2.01841	False	13.5
AZ	AZ-COCONINO	2.01841	False	0.4
AZ	AZ-COCONINO	2.01841	False	0.4
AZ	AZ-COCONINO	2.01841	False	0.8
AZ	AZ-COCONINO	2.01841	False	0.3
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	1.4
AZ	AZ-COCONINO	2.01841	False	0.2
AZ	AZ-COCONINO	2.01841	False	0.9
AZ	AZ-COCONINO	2.01841	False	0.0
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.5
AZ	AZ-COCONINO	2.01841	False	0.1
AZ	AZ-GILA	2.3866	False	0.9
AZ	AZ-GILA	2.3866	False	0.0
AZ	AZ-GILA	2.3866	True	0.9
AZ	AZ-GILA	2.3866	False	1.2
AZ	AZ-GILA	2.3866	False	2.1
AZ	AZ-GILA	2.3866	False	0.6
AZ	AZ-GILA	2.3866	False	0.7
AZ	AZ-GILA	2.3866	False	1.7
AZ	AZ-GILA	2.3866	False	0.3
AZ	AZ-GILA	2.3866	False	0.8
AZ	AZ-GILA	2.3866	False	1.3
AZ	AZ-GILA	2.3866	False	1.7
AZ	AZ-GILA	2.3866	False	2.4
AZ	AZ-GRAHAM	2.40633	False	0.3
AZ	AZ-GRAHAM	2.40633	False	1.5
AZ	AZ-GRAHAM	2.40633	False	0.0
AZ	AZ-GRAHAM	2.40633	False	2.8
AZ	AZ-GRAHAM	2.40633	False	1.8
AZ	AZ-GRAHAM	2.40633	False	2.7
AZ	AZ-GRAHAM	2.40633	False	1.1
AZ	AZ-GRAHAM	2.40633	False	2.4
AZ	AZ-GRAHAM	2.40633	False	0.7
AZ	AZ-GRAHAM	2.40633	False	2.1
AZ	AZ-GRAHAM	2.40633	False	0.7
AZ	AZ-GRAHAM	2.40633	False	0.6
AZ	AZ-GRAHAM	2.40633	False	1.5
AZ	AZ-GRAHAM	2.40633	False	0.8
AZ	AZ-GRAHAM	2.40633	False	1.2
AZ	AZ-GRAHAM	2.40633	False	0.2
AZ	AZ-GRAHAM	2.40633	False	0.6
AZ	AZ-GRAHAM	2.40633	False	0.2
AZ	AZ-GRAHAM	2.40633	False	0.2
AZ	AZ-GRAHAM	2.40633	False	0.2
AZ	AZ-GRAHAM	2.40633	False	0.0
AZ	AZ-GRAHAM	2.40633	False	0.7
AZ	AZ-GRAHAM	2.40633	False	1.1
AZ	AZ-GRAHAM	2.40633	False	2.0
AZ	AZ-GRAHAM	2.40633	False	2.8
AZ	AZ-GRAHAM	2.40633	False	1.0
AZ	AZ-GRAHAM	2.40633	False	0.7
